City,Lat,Lng,Max Temp,Humidity %,Cloudiness,Wind Speed,Country,Date,Temperature
Marsá Maţrūḩ,31.3525,27.2453,86.2,66,0,13.8,EG,1629552930,86.2
Rikitea,-23.1203,-134.9692,68.5,52,75,17.67,PF,1629552932,68.5
Roald,62.5833,6.1333,62.17,67,20,11.5,NO,1629552933,58.35
Ushuaia,-54.8,-68.3,31.66,69,20,1.14,AR,1629552934,31.66
Port Elizabeth,-33.918,25.5701,64.69,63,40,19.57,ZA,1629552936,64.69
Hong Kong,22.2855,114.1577,87.33,78,100,9.37,HK,1629552860,86.76
Abu Dhabi,24.4667,54.3667,104.11,42,0,12.66,AE,1629552648,102.22
Tiksi,71.6872,128.8694,41.0,96,100,8.81,RU,1629552939,41.0
Bend,44.0582,-121.3153,50.47,78,1,1.01,US,1629552924,45.46
Severo-Kuril'sk,50.6789,156.125,53.56,95,81,5.12,RU,1629552942,53.56
Saint George,37.1041,-113.5841,74.53,39,1,3.0,US,1629552943,73.0
Sarkand,45.41,79.9186,69.28,27,2,4.38,KZ,1629552944,69.28
Barcelona,41.3888,2.159,99.32,67,0,1.99,ES,1629552741,86.41
Ternuvate,47.8305,36.1276,78.28,42,28,13.09,UA,1629552947,78.28
Chui,-33.6971,-53.4616,58.82,54,79,7.67,UY,1629552948,58.82
Poros,37.4994,23.4536,92.61,47,0,9.6,GR,1629552949,89.76
Puerto Escondido,15.85,-97.0667,76.03,78,90,3.44,MX,1629552951,76.03
Inta,66.0317,60.1659,67.15,61,14,9.62,RU,1629552952,67.15
Hofn,64.2539,-15.2082,51.82,71,75,6.91,IS,1629552953,51.82
Rawson,-43.3002,-65.1023,45.88,64,100,20.78,AR,1629552955,45.88
Nekhayevskiy,50.4106,41.7561,77.99,48,91,9.84,RU,1629552956,77.99
Labytnangi,66.6572,66.4183,67.51,57,10,11.79,RU,1629552957,67.51
Bengkulu,-3.8004,102.2655,75.87,91,100,6.82,ID,1629552959,75.87
Saint-Philippe,-21.3585,55.7679,74.75,72,7,9.46,RE,1629552960,72.61
Vao,-22.6667,167.4833,68.2,73,80,15.48,NC,1629552961,68.2
Laas,46.6166,10.7002,78.71,63,53,3.8,IT,1629552963,78.13
Saskylakh,71.9167,114.0833,43.5,91,100,9.57,RU,1629552964,43.5
Faanui,-16.4833,-151.75,78.13,78,12,18.88,PF,1629552965,78.13
Hobart,-42.8794,147.3294,53.26,75,75,1.99,AU,1629552674,51.51
Saldanha,-33.0117,17.9442,60.85,57,1,10.65,ZA,1629552968,60.85
Jamestown,42.097,-79.2353,74.71,78,1,8.05,US,1629552964,72.77
Tura,25.5198,90.2201,74.43,95,84,4.05,IN,1629552970,74.43
Lompoc,34.6391,-120.4579,64.56,86,90,0.0,US,1629552705,60.67
Hualmay,-11.0964,-77.6139,62.24,81,71,6.93,PE,1629552973,62.24
Punta Arenas,-53.15,-70.9167,30.31,86,75,2.3,CL,1629552974,30.31
Barrow,71.2906,-156.7887,46.42,76,90,20.71,US,1629552975,46.42
Kodinsk,58.6881,99.1844,51.33,94,100,4.14,RU,1629552977,51.33
Chara,56.9064,118.2631,54.91,83,98,3.2,RU,1629552978,54.91
Bairiki Village,1.3292,172.9752,82.4,74,75,6.91,KI,1629552979,82.4
Mataura,-46.1927,168.8643,41.49,89,7,4.16,NZ,1629552981,41.49
Quelimane,-17.8786,36.8883,80.55,69,75,12.66,MZ,1629552982,80.55
Pisco,-13.7,-76.2167,61.02,88,90,2.3,PE,1629552983,60.85
Port Alfred,-33.5906,26.891,63.16,58,0,20.04,ZA,1629552985,63.16
Hasaki,35.7333,140.8333,77.4,84,100,12.12,JP,1629552986,77.4
Araouane,18.9048,-3.5265,109.15,10,4,14.63,ML,1629552987,109.15
Moussoro,13.6408,16.4901,97.43,30,89,8.95,TD,1629552989,97.43
Butaritari,3.0707,172.7902,80.08,74,100,17.74,KI,1629552990,80.08
Lumby,50.2498,-118.969,62.73,82,100,1.14,CA,1629552992,57.4
Hongjiang,27.11,109.9956,80.17,78,14,3.47,CN,1629552993,80.17
Nome,64.5011,-165.4064,48.27,82,90,11.5,US,1629552795,48.27
Karīmganj,24.8667,92.35,77.63,94,95,1.92,IN,1629552995,77.63
Sarangani,5.4033,125.4636,82.83,70,100,6.2,PH,1629552997,82.83
Bāfq,31.6128,55.4107,102.79,8,2,7.05,IR,1629552998,102.79
Padina,45.1181,20.7272,92.89,20,6,8.19,RS,1629552999,83.55
Buin,-33.7333,-70.75,55.62,47,100,4.47,CL,1629553001,53.02
Qaanaaq,77.484,-69.3632,38.26,85,100,4.0,GL,1629553002,38.26
Busselton,-33.65,115.3333,53.1,70,99,16.42,AU,1629553003,52.05
Atuona,-9.8,-139.0333,76.84,72,28,17.83,PF,1629553005,76.84
Kununurra,-15.7667,128.7333,71.58,68,0,4.61,AU,1629553006,71.58
Gourcy,13.2167,-2.35,93.97,43,79,6.22,BF,1629553007,93.97
Kargopol',61.5071,38.9456,68.68,42,3,2.62,RU,1629553009,68.68
Kumluca,36.3703,30.2869,90.73,47,2,9.24,TR,1629553010,90.73
San Patricio,28.017,-97.5169,87.66,67,10,10.69,US,1629553011,83.43
Puerto Ayora,-0.7393,-90.3518,68.56,96,98,5.99,EC,1629553013,68.56
Vaini,-21.2,-175.2,69.96,100,75,5.75,TO,1629553014,69.96
Turaif,31.6725,38.6637,104.25,13,0,0.0,SA,1629553015,104.25
Hilo,19.7297,-155.09,72.81,92,14,1.99,US,1629553017,72.25
Cape Town,-33.9258,18.4232,63.01,55,40,7.0,ZA,1629552840,61.88
Harlingen,26.1906,-97.6961,86.9,96,1,3.44,US,1629553019,81.72
Geraldton,-28.7667,114.6,55.81,94,90,5.75,AU,1629553021,55.81
Abu Samrah,35.3029,37.1841,101.68,11,0,7.58,SY,1629553022,101.68
Albany,42.6001,-73.9662,78.8,88,94,2.66,US,1629552837,74.71
Talnakh,69.4865,88.3972,49.82,78,100,13.78,RU,1629553024,49.82
Dikson,73.5069,80.5464,43.27,95,100,21.39,RU,1629553026,43.27
Castro,-24.7911,-50.0119,76.48,36,0,6.33,BR,1629552907,76.48
Petatlán,17.5167,-101.2667,76.8,93,100,3.8,MX,1629553028,76.8
Carnarvon,-24.8667,113.6333,64.47,70,0,18.41,AU,1629553030,64.47
Daru,-9.0763,143.2092,77.54,91,24,12.71,PG,1629553031,77.54
Kortkeros,61.8106,51.5806,71.6,69,100,3.56,RU,1629553032,71.6
Okhotsk,59.3833,143.3,57.15,96,98,4.34,RU,1629553034,57.15
Comodoro Rivadavia,-45.8667,-67.5,40.86,81,75,8.05,AR,1629552880,40.86
São Félix do Xingu,-6.6447,-51.995,94.48,22,9,4.59,BR,1629553036,94.48
Road Town,18.4167,-64.6167,86.04,79,40,12.66,VG,1629553037,85.98
Iqaluit,63.7506,-68.5145,49.73,71,90,9.22,CA,1629553039,49.73
Manaure,11.7751,-72.4445,86.22,64,99,11.92,CO,1629553040,86.22
Tecalitlán,19.4667,-103.3,66.65,95,93,2.89,MX,1629553041,66.65
Tynda,55.1667,124.7167,55.44,98,100,2.08,RU,1629553043,55.44
Palana,59.1167,159.9667,42.93,97,90,1.07,RU,1629553044,42.93
Sibolga,1.7427,98.7792,77.52,85,95,3.53,ID,1629553045,77.52
Anloga,5.7947,0.8973,84.42,88,100,12.66,GH,1629553047,84.42
Saint-Augustin,51.226,-58.6502,61.54,43,100,12.64,CA,1629553048,61.54
Campbell River,50.0163,-125.2446,57.92,94,20,3.44,CA,1629553049,50.16
Cidreira,-30.1811,-50.2056,63.19,85,16,9.89,BR,1629553051,63.19
Khatanga,71.9667,102.5,45.99,84,99,6.4,RU,1629553052,45.99
Khovd,48.0056,91.6419,44.49,70,97,4.72,MN,1629553053,44.49
Shimoda,34.6667,138.95,78.1,89,100,8.46,JP,1629553055,78.1
Hermanus,-34.4187,19.2345,60.8,58,5,10.98,ZA,1629553056,60.8
Mandan,46.8267,-100.8896,55.04,90,1,12.66,US,1629553057,52.74
Faya,18.3851,42.4509,77.52,32,95,5.88,SA,1629553058,77.52
Havelock,34.8791,-76.9013,81.05,94,90,3.0,US,1629553060,77.7
Chernyshevskiy,63.0128,112.4714,53.83,75,100,5.32,RU,1629553061,53.83
Karratha,-20.7377,116.8463,72.66,63,0,8.32,AU,1629553062,72.66
Ribeira Grande,38.5167,-28.7,77.4,73,20,6.91,PT,1629553064,77.4
Moose Factory,51.2585,-80.6094,71.6,78,1,9.22,CA,1629553065,71.58
Narsaq,60.9167,-46.05,59.22,53,98,12.95,GL,1629553066,59.22
Tuktoyaktuk,69.4541,-133.0374,48.2,100,90,3.44,CA,1629553068,48.2
Taltal,-25.4,-70.4833,65.35,61,0,5.46,CL,1629553069,65.35
Lavrentiya,65.5833,-171.0,44.4,90,14,7.58,RU,1629553070,44.4
Anadyr,64.75,177.4833,45.1,93,0,2.24,RU,1629553072,45.1
Wajir,1.7471,40.0573,94.12,28,79,14.25,KE,1629553073,94.12
Kapaa,22.0752,-159.319,79.12,78,40,1.01,US,1629553051,75.25
Berlevåg,70.8578,29.0864,45.63,80,100,14.97,NO,1629553075,45.63
Fort Nelson,58.8053,-122.7002,51.39,76,75,6.91,CA,1629553077,51.39
Camabatela,-8.1881,15.375,86.07,26,48,5.91,AO,1629553078,86.07
Arraial do Cabo,-22.9661,-42.0278,78.76,61,0,6.91,BR,1629553079,78.66
Pontianak,-0.0333,109.3333,75.18,94,75,0.0,ID,1629553081,75.18
Upernavik,72.7868,-56.1549,40.57,87,90,10.25,GL,1629553082,40.57
Miles City,46.4083,-105.8406,49.17,93,20,5.75,US,1629553083,49.17
Esperance,-33.8667,121.9,57.04,81,4,21.36,AU,1629553085,57.04
New Norfolk,-42.7826,147.0587,52.92,74,100,3.0,AU,1629553086,49.55
Bredasdorp,-34.5322,20.0403,63.72,45,75,8.05,ZA,1629553087,63.72
Bluff,-46.6,168.3333,41.81,79,49,15.86,NZ,1629553089,41.81
Coquimbo,-29.9533,-71.3436,55.13,82,0,8.05,CL,1629552883,55.13
Pierre,44.3683,-100.351,67.05,80,20,4.0,US,1629553091,63.95
Banda Aceh,5.5577,95.3222,79.03,82,97,9.46,ID,1629553092,79.03
Pemba,-12.974,40.5178,84.9,65,20,10.36,MZ,1629553094,84.9
Gillette,44.2911,-105.5022,48.81,90,1,5.01,US,1629553095,46.81
Iquitos,-3.7481,-73.2472,80.64,83,0,0.0,PE,1629552968,80.64
Touros,-5.1989,-35.4608,83.3,57,3,18.48,BR,1629553098,83.3
Kiryat Gat,31.61,34.7642,95.4,20,0,14.47,IL,1629553099,89.94
Chunhuhub,19.55,-88.6833,79.18,90,64,5.01,MX,1629553100,79.18
Sūsangerd,31.5608,48.1831,109.42,15,0,2.19,IR,1629553102,109.42
Aklavik,68.2191,-135.0107,48.92,93,75,5.75,CA,1629553103,44.6
Batagay-Alyta,67.8006,130.4114,54.39,87,100,2.55,RU,1629553104,54.39
Kavaratti,10.5669,72.642,82.04,76,65,14.12,IN,1629553106,82.04
Chokurdakh,70.6333,147.9167,46.71,84,95,14.56,RU,1629553107,46.71
Thompson,55.7435,-97.8558,46.56,93,90,6.91,CA,1629553108,46.56
Walvis Bay,-22.9575,14.5053,65.35,52,2,16.11,NA,1629553109,65.35
Bitkine,11.9801,18.2138,81.14,71,79,5.14,TD,1629553111,81.14
Mahébourg,-20.4081,57.7,73.69,73,75,5.75,MU,1629553112,73.69
Torbay,47.6666,-52.7314,60.58,80,75,13.8,CA,1629552930,59.22
La Paz,-16.5,-68.15,46.38,56,20,3.44,BO,1629553115,46.38
Najrān,17.4924,44.1277,95.65,17,100,16.06,SA,1629553116,95.65
Kavieng,-2.5744,150.7967,81.68,80,100,15.64,PG,1629553117,81.68
Houston,29.7633,-95.3633,85.05,78,1,1.99,US,1629552674,81.88
Lebu,-37.6167,-73.65,51.76,88,100,31.45,CL,1629553120,51.76
Nanortalik,60.1432,-45.2371,47.95,74,83,6.33,GL,1629553121,47.95
Lincoln,40.8,-96.667,66.29,74,1,5.99,US,1629553014,63.86
Hithadhoo,-0.6,73.0833,83.43,71,1,13.4,MV,1629553124,83.43
Suntar,62.1444,117.6319,57.06,97,100,9.24,RU,1629553125,57.06
Rio Grande,-32.035,-52.0986,60.91,77,100,8.88,BR,1629553118,60.91
East London,-33.0153,27.9116,63.54,63,0,19.57,ZA,1629553127,63.54
Alice Springs,-23.7,133.8833,58.55,23,0,0.0,AU,1629553129,58.55
Back Mountain,41.3359,-75.9963,74.77,91,45,1.83,US,1629553018,70.9
Dalian,38.9122,121.6022,71.53,94,0,8.95,CN,1629552932,71.53
Deputatsky,69.3,139.9,58.05,64,100,3.96,RU,1629553132,58.05
Cedar City,37.6775,-113.0619,63.39,63,1,3.44,US,1629553087,58.17
Eyrarbakki,63.863,-21.1481,57.2,76,100,3.65,IS,1629553135,56.68
Dorokhovo,55.5506,36.3744,64.13,75,100,4.14,RU,1629553136,64.13
Mar del Plata,-38.0023,-57.5575,48.22,87,75,10.36,AR,1629553137,48.22
Shubarkuduk,49.1447,56.4872,98.26,13,60,11.54,KZ,1629553139,98.26
Tingo María,-9.2895,-76.0088,71.91,88,75,2.3,PE,1629553140,71.91
Stryn,61.9045,6.7226,62.15,54,63,4.41,NO,1629553141,61.23
Esim,4.8699,-2.2405,80.29,73,86,9.75,GH,1629553143,80.29
Maryville,35.7565,-83.9705,79.09,95,75,0.0,US,1629553144,74.39
Olafsvik,64.8945,-23.7142,53.78,86,100,4.47,IS,1629553145,53.78
Port Blair,11.6667,92.75,81.66,78,35,7.07,IN,1629553147,81.66
Mount Gambier,-37.8333,140.7667,49.91,100,48,9.22,AU,1629553148,49.91
Sitka,57.0531,-135.33,55.29,82,90,5.75,US,1629553149,55.29
Avarua,-21.2078,-159.775,71.65,88,100,4.61,CK,1629553151,71.65
Port Lincoln,-34.7333,135.8667,53.71,91,0,11.3,AU,1629553152,53.71
Yeppoon,-23.1333,150.7333,60.58,85,0,3.91,AU,1629553153,60.58
Ekibastuz,51.6667,75.3667,74.41,27,0,7.92,KZ,1629553155,74.41
Licata,37.1071,13.9461,91.06,60,0,10.51,IT,1629553156,84.9
Vila Velha,-20.3297,-40.2925,78.75,65,0,12.66,BR,1629553137,78.75
Ambilobe,-13.2,49.05,83.25,45,0,1.88,MG,1629553159,83.25
Amahai,-3.3333,128.9167,77.54,87,100,4.18,ID,1629553160,77.54
Portobelo,9.55,-79.65,81.86,77,89,2.68,PA,1629553161,80.94
Yar-Sale,66.8333,70.8333,67.95,57,15,13.06,RU,1629553162,67.95
Sambava,-14.2667,50.1667,74.5,71,0,14.38,MG,1629553164,74.5
Kumul,42.8,93.45,83.3,14,100,10.58,CN,1629553165,83.3
Ponta do Sol,32.6667,-17.1,82.0,67,12,2.19,PT,1629553166,77.11
Gari,59.4307,62.3497,81.77,48,81,5.86,RU,1629553168,81.77
Ahipara,-35.1667,173.1667,53.96,89,89,10.18,NZ,1629553169,53.96
Yellowknife,62.456,-114.3525,41.52,100,20,4.61,CA,1629553170,41.52
El Alto,-4.2714,-81.2147,62.26,73,58,10.58,PE,1629553172,62.26
Erzin,36.9559,36.2,100.92,32,0,7.23,TR,1629553173,86.05
Port Hardy,50.6996,-127.4199,51.98,100,90,3.44,CA,1629553174,51.98
Ishigaki,24.3448,124.1572,83.98,74,24,10.38,JP,1629553176,83.98
Ilebo,-4.3167,20.5833,83.46,52,100,3.89,CD,1629553177,83.46
Tasiilaq,65.6145,-37.6368,48.36,93,100,7.23,GL,1629553178,48.36
Cabo San Lucas,22.8909,-109.9124,83.52,78,2,10.94,MX,1629552998,81.91
Provideniya,64.3833,-173.3,46.58,98,100,5.26,RU,1629553181,46.58
Sept-Îles,50.2001,-66.3821,66.25,66,75,3.0,CA,1629552910,64.83
Mount Isa,-20.7333,139.5,62.37,42,0,0.0,AU,1629553183,62.37
Ilhabela,-23.7781,-45.3581,76.26,69,11,6.82,BR,1629553185,76.26
Nikolskoye,59.7035,30.7861,60.69,82,100,5.14,RU,1629553186,60.69
Lagoa,39.05,-27.9833,73.02,76,0,8.79,PT,1629553187,73.02
Huayang,34.4155,109.9939,64.65,89,100,4.9,CN,1629553189,64.65
Klaksvík,62.2266,-6.589,54.52,86,81,20.0,FO,1629553190,54.52
Korgen,66.0771,13.8153,58.53,79,100,4.76,NO,1629553191,56.16
Aswān,24.0934,32.907,108.7,12,0,11.5,EG,1629553193,108.7
Rongai,-0.1733,35.8638,64.6,78,74,6.76,KE,1629553194,64.6
Machalí,-34.1833,-70.6667,54.68,47,90,8.05,CL,1629553195,54.68
Sørland,67.667,12.6934,50.07,72,82,18.25,NO,1629553197,50.07
Christchurch,-43.5333,172.6333,46.9,79,100,4.0,NZ,1629552940,44.94
Nadym,65.5333,72.5167,71.37,55,46,11.52,RU,1629553199,71.37
Pochutla,15.7432,-96.4661,74.82,87,100,2.26,MX,1629553200,74.01
São José da Coroa Grande,-8.8978,-35.1478,78.51,74,63,10.0,BR,1629553203,78.51
Narón,43.5167,-8.1528,84.04,78,99,9.46,ES,1629553205,74.01
Taguatinga,-12.3857,-46.5711,88.99,25,3,8.39,BR,1629553206,88.99
Nuuk,64.1835,-51.7216,50.61,87,40,9.22,GL,1629553207,50.61
Māngrol,21.1167,70.1167,78.1,85,100,11.7,IN,1629553209,78.1
Paithan,19.4833,75.3833,74.88,85,100,9.82,IN,1629553210,74.88
Praia,14.9215,-23.5087,84.74,74,40,8.05,CV,1629553211,84.74
Nioro,13.35,-15.75,89.31,60,72,5.3,GM,1629553213,89.31
Sumbe,-11.2061,13.8437,75.42,74,19,10.0,AO,1629553214,75.42
Jilib,0.4883,42.7854,86.76,49,39,13.51,SO,1629553216,86.76
Lázaro Cárdenas,17.9583,-102.2,79.21,89,100,5.37,MX,1629553217,79.21
Pangody,65.85,74.4859,67.69,67,28,6.53,RU,1629553218,67.69
Kayerkan,69.3497,87.7602,49.17,78,100,15.48,RU,1629553219,49.17
Goianésia,-15.3175,-49.1175,85.03,25,18,7.34,BR,1629553055,85.03
Tungor,53.3808,142.9564,66.2,56,100,9.46,RU,1629553222,66.2
Saarwellingen,49.35,6.8167,82.15,50,74,5.86,DE,1629553223,79.95
São João da Barra,-21.6403,-41.0511,78.89,62,0,12.66,BR,1629553225,78.89
Bilma,18.6853,12.9164,104.95,14,6,3.53,NE,1629553226,104.95
Philadelphia,39.9523,-75.1638,80.01,87,75,1.01,US,1629553194,76.26
Griffith,41.5284,-87.4237,80.89,82,1,1.01,US,1629553229,76.41
Husavik,66.0449,-17.3389,57.11,59,93,5.48,IS,1629553230,57.11
Morant Bay,17.8815,-76.4093,83.82,78,68,14.41,JM,1629553231,82.42
Raja,8.4596,25.678,82.06,66,35,5.35,SS,1629553232,82.06
Fortuna,40.5982,-124.1573,55.36,69,90,6.91,US,1629553234,54.34
Jhānsi,25.4333,78.5833,81.86,82,54,8.52,IN,1629553235,81.86
Sisimiut,66.9395,-53.6735,51.19,73,100,8.63,GL,1629553236,51.19
George Town,5.4112,100.3354,82.89,81,20,1.14,MY,1629553063,82.69
Bonavista,48.6499,-53.1147,61.12,75,95,10.18,CA,1629553239,59.0
Gazojak,41.1875,61.4036,92.79,12,0,17.2,TM,1629553240,92.79
Rome,43.2128,-75.4557,77.67,82,100,1.01,US,1629553187,74.64
Tāndā,26.55,82.65,83.66,79,81,7.34,IN,1629553243,83.66
Bodden Town,19.2833,-81.25,84.97,85,20,3.0,KY,1629553244,84.45
Moses Lake,47.1301,-119.2781,61.48,76,1,5.75,US,1629553245,57.87
Broken Hill,-31.95,141.4333,55.11,47,7,4.61,AU,1629553247,55.11
Marivan,35.5219,46.176,89.17,11,0,10.07,IR,1629553248,89.17
Baoqing,46.3317,132.2111,68.83,78,100,7.07,CN,1629553249,68.83
Bilibino,68.0546,166.4372,49.6,78,100,3.29,RU,1629553250,49.6
Souillac,-20.5167,57.5167,73.78,73,75,5.75,MU,1629553252,73.78
Sola,-13.8833,167.55,78.13,76,99,21.36,VU,1629553253,78.13
Trelew,-43.249,-65.3051,46.18,63,100,19.77,AR,1629553254,46.18
Mlonggo,-6.5333,110.7,84.09,77,65,0.89,ID,1629553256,84.09
Catuday,16.2923,119.8062,81.72,74,89,2.98,PH,1629553257,81.72
Jaca,42.569,-0.5499,90.01,23,1,9.24,ES,1629553259,90.01
Milas,37.3164,27.7839,94.66,26,0,16.11,TR,1629553260,92.55
Harper,4.375,-7.7169,77.38,84,98,9.46,LR,1629553261,77.38
Luanda,-8.8368,13.2343,77.0,73,75,8.05,AO,1629553225,77.0
Saint-Joseph,-21.3667,55.6167,73.76,73,4,7.36,RE,1629553264,71.62
Padang,-0.9492,100.3543,80.65,85,100,3.56,ID,1629553265,80.65
Øksfjord,70.2396,22.3479,50.07,79,100,7.23,NO,1629553266,49.44
Bambous Virieux,-20.3428,57.7575,73.65,73,75,5.75,MU,1629553268,73.65
Constitución,-35.3333,-72.4167,54.27,89,91,25.59,CL,1629553256,54.27
Kruisfontein,-34.0033,24.7314,60.89,61,4,16.04,ZA,1629553270,60.89
Yulara,-25.2406,130.9889,62.44,29,0,4.61,AU,1629553271,62.44
Mattru,7.6244,-11.8332,86.36,65,70,2.91,SL,1629553273,86.36
Chake Chake,-5.2459,39.7666,79.7,69,1,12.44,TZ,1629553274,79.7
Obo,5.3998,26.4869,80.33,67,54,4.18,CF,1629553275,80.33
Kloulklubed,7.0419,134.2556,83.61,70,100,5.12,PW,1629553277,83.61
Paamiut,61.994,-49.6678,50.07,64,98,7.36,GL,1629553278,50.07
Sligo,54.2697,-8.4694,66.51,94,75,6.91,IE,1629553279,65.82
La Palma,33.8464,-118.0467,71.11,89,90,1.99,US,1629553281,66.6
Necochea,-38.5473,-58.7368,47.03,72,100,14.36,AR,1629553245,47.03
Leningradskiy,69.3833,178.4167,38.17,90,100,2.91,RU,1629553283,38.17
Airai,-8.9266,125.4092,55.94,76,100,2.91,TL,1629553284,55.94
New Iberia,30.0035,-91.8187,85.96,94,1,0.0,US,1629553158,79.88
Jalu,29.0331,21.5482,98.56,20,0,10.27,LY,1629553287,98.56
Am Timan,11.0297,20.2827,81.39,71,93,6.53,TD,1629553288,81.39
João Pinheiro,-17.7425,-46.1725,79.75,34,86,7.83,BR,1629553290,79.75
Saint-Pierre,-21.3393,55.4781,74.84,72,75,6.91,RE,1629553291,72.7
Clyde River,70.4692,-68.5914,41.23,93,75,3.44,CA,1629553292,41.23
Flin Flon,54.7682,-101.865,51.64,82,75,11.5,CA,1629553293,51.64
Yong’an,39.6957,113.6871,64.42,87,2,8.1,CN,1629553295,64.42
Bhadrak,21.0633,86.5054,82.89,78,32,11.23,IN,1629553296,82.89
Dom Pedrito,-30.9828,-54.6731,59.83,88,97,9.22,BR,1629553297,59.83
Rāmhormoz,31.28,49.6035,107.67,16,0,16.82,IR,1629553299,107.67
Caravelas,-17.7125,-39.2481,80.35,53,15,8.12,BR,1629553300,80.35
Rafai,4.95,23.9167,72.01,95,100,3.47,CF,1629553301,72.01
Show Low,34.2542,-110.0298,60.13,82,1,3.44,US,1629553023,56.19
Severomuysk,56.1481,113.4267,43.66,94,100,3.6,RU,1629553304,43.66
Kulhudhuffushi,6.6221,73.07,82.47,76,80,13.15,MV,1629553305,82.47
Kaitangata,-46.2817,169.8464,35.55,88,70,4.79,NZ,1629553306,35.55
