City,Lat,Lng,Max Temp,Humidity %,Cloudiness,Wind Speed,Country,Date,Temperature
Ust-Maya,60.4167,134.5333,67.23,70,99,3.83,RU,1629553308,67.23
Abhā,18.2164,42.5053,77.25,50,40,11.5,SA,1629553309,77.25
Tessalit,20.1986,1.0114,108.66,6,13,14.74,ML,1629553310,108.66
Marinette,45.1,-87.6307,78.31,83,1,11.5,US,1629553312,76.87
Adré,13.4667,22.2,83.86,59,79,8.05,TD,1629553314,83.86
Launceston,-41.45,147.1667,52.81,88,97,3.0,AU,1629553316,50.85
Vanavara,60.34,102.2797,55.94,88,100,7.63,RU,1629553317,55.94
Zelenoborsk,61.4669,64.0333,84.45,28,84,12.1,RU,1629553318,84.45
Rock Sound,24.9,-76.2,83.57,74,12,13.06,BS,1629553320,83.57
Saint Paul Harbor,57.79,-152.4072,44.11,81,1,5.75,US,1629553321,44.11
Hamilton,39.1834,-84.5333,81.0,79,40,3.44,US,1629553322,76.68
Egvekinot,66.3167,-179.1667,41.47,97,89,3.87,RU,1629553324,41.47
Gondanglegi,-7.7479,112.0132,75.24,87,73,13.73,ID,1629553325,75.24
Waipawa,-41.4122,175.5153,36.23,83,10,6.93,NZ,1629553326,35.1
Masuda,34.6667,131.85,80.33,90,100,8.28,JP,1629553328,80.33
Sal Rei,16.1833,-22.9167,88.0,58,40,13.8,CV,1629553329,88.0
Tete,-16.1564,33.5867,91.49,35,40,12.66,MZ,1629553330,91.49
Jalingo,8.8833,11.3667,81.09,73,93,5.39,NG,1629553332,81.09
Gboko,7.3179,8.9951,78.12,78,99,3.44,NG,1629553333,78.12
Vostok,46.4856,135.8833,61.86,89,100,4.63,RU,1629553334,61.86
Kuruman,-27.4524,23.4325,68.99,14,0,11.05,ZA,1629553335,68.99
Adrar,20.5022,-10.0711,104.74,17,73,7.09,MR,1629553337,104.74
Östersund,63.1792,14.6357,52.25,71,40,18.41,SE,1629553338,52.25
San Cristobal,7.7669,-72.225,68.18,71,76,5.5,VE,1629553296,68.18
Sayyan,15.1718,44.3244,73.11,32,94,10.58,YE,1629553341,73.11
Lafiagi,8.8667,5.4167,85.68,66,95,3.71,NG,1629553342,85.68
Vanimo,-2.6741,141.3028,78.91,86,60,6.22,PG,1629553343,78.91
Lorengau,-2.0226,147.2712,79.48,83,100,12.62,PG,1629553345,79.48
Çubuk,40.2386,33.0322,85.6,24,20,5.75,TR,1629553346,83.66
Kupino,54.3663,77.2981,64.0,54,3,10.13,RU,1629553347,64.0
Korla,41.7597,86.1469,87.22,17,2,7.11,CN,1629553348,87.22
Talcahuano,-36.7167,-73.1167,55.08,82,90,19.57,CL,1629553215,55.08
Cap Malheureux,-19.9842,57.6142,73.89,68,93,3.0,MU,1629553351,73.47
Coahuayana Viejo,18.7333,-103.6833,80.08,91,87,1.68,MX,1629553352,80.08
Castro Urdiales,43.3829,-3.2204,80.82,62,8,7.02,ES,1629553354,77.86
Hetauda,27.4284,85.0322,83.55,93,100,1.48,NP,1629553355,83.55
Baião,-2.7906,-49.6717,92.95,39,62,4.21,BR,1629553356,92.95
Torquay,50.4638,-3.5143,72.52,90,85,12.01,GB,1629553358,69.17
Isakly,54.1333,51.5333,99.1,12,93,7.81,RU,1629553359,99.1
Rohatyn,49.409,24.6093,75.52,50,55,9.19,UA,1629553360,75.52
Carauari,-4.8828,-66.8958,92.16,47,44,2.51,BR,1629553361,92.16
Filingué,14.3521,3.3168,95.2,43,31,8.39,NE,1629553363,95.2
Goderich,43.7501,-81.7165,74.91,88,6,4.61,CA,1629553364,70.12
Lingao,19.9103,109.6859,82.29,80,64,7.85,CN,1629553365,82.29
Porto-Novo,6.4965,2.6036,76.82,89,96,10.0,BJ,1629553277,76.82
Agadir,30.4202,-9.5982,82.85,59,18,10.78,MA,1629553368,82.85
Ves'yegonsk,58.664,37.2604,72.03,42,2,1.23,RU,1629553369,72.03
Matai,-8.3,31.5167,65.95,60,100,3.33,TZ,1629553371,65.95
Buchanan,5.8808,-10.0467,87.76,80,56,9.17,LR,1629553372,87.76
Pevek,69.7008,170.3133,41.31,93,100,3.76,RU,1629553373,41.31
Tyup,42.7276,78.3648,61.39,68,6,5.37,KG,1629553375,61.39
Mitsamiouli,-11.3847,43.2844,82.69,69,40,14.97,KM,1629553376,82.69
Mogadishu,2.0371,45.3438,82.27,78,40,14.97,SO,1629553377,82.27
Bethel,41.3712,-73.414,77.94,92,90,4.61,US,1629553379,74.12
Hambantota,6.1241,81.1185,84.54,74,40,4.61,LK,1629553380,84.54
Burns Lake,54.2331,-125.7533,36.82,75,6,3.31,CA,1629553381,36.82
Caxito,-8.5785,13.6643,77.65,39,4,9.35,AO,1629553383,77.65
Pelotas,-31.7719,-52.3425,60.82,82,40,4.61,BR,1629553160,60.82
Stillwater,36.1156,-97.0584,83.88,92,90,4.61,US,1629553385,75.31
Guerrero Negro,27.9769,-114.0611,67.98,77,66,10.04,MX,1629553386,67.98
Sur,22.5667,59.5289,88.56,55,4,1.66,OM,1629553388,88.56
Dunedin,-45.8742,170.5036,44.8,65,67,14.0,NZ,1629553389,44.8
Narasannapeta,18.4167,84.05,81.19,83,73,8.48,IN,1629553390,81.19
Vila Franca do Campo,37.7167,-25.4333,77.41,62,100,6.8,PT,1629553392,77.41
Mehamn,71.0357,27.8492,45.1,79,100,14.05,NO,1629553393,45.1
Guider,9.9342,13.9486,88.68,64,97,8.3,CM,1629553394,88.68
Omsukchan,62.5333,155.8,50.61,79,54,7.02,RU,1629553396,50.61
Zhigansk,66.7697,123.3711,58.35,66,100,10.69,RU,1629553397,58.35
Velsk,61.0701,42.0983,71.8,52,100,0.51,RU,1629553398,71.8
Cap-aux-Meules,47.3821,-61.8597,68.05,77,40,8.05,CA,1629553400,68.02
Altay,47.8667,88.1167,60.71,39,11,5.55,CN,1629553401,60.71
Beringovskiy,63.05,179.3167,49.53,88,100,4.23,RU,1629553402,49.53
Talakan,50.3167,130.3667,66.06,95,100,8.68,RU,1629553404,66.06
Kovūr,14.4833,79.9833,85.62,65,37,11.65,IN,1629553405,85.62
Fare,-16.7,-151.0167,77.74,78,29,20.36,PF,1629553406,77.74
Amiens,49.9,2.3,79.45,62,100,6.73,FR,1629553408,75.99
Homer,59.6425,-151.5483,49.05,91,1,3.44,US,1629553409,43.65
Bonthe,7.5264,-12.505,83.57,70,86,7.87,SL,1629553410,83.57
Doha,25.2867,51.5333,109.71,21,0,9.22,QA,1629553412,105.03
Casper,42.8666,-106.3131,49.01,87,1,3.44,US,1629553413,43.39
Isangel,-19.55,169.2667,70.59,84,5,7.61,VU,1629553414,70.59
Alta Floresta,-9.8756,-56.0861,89.42,33,47,9.22,BR,1629553416,89.42
Quatre Cocos,-20.2078,57.7625,73.51,71,24,6.33,MU,1629553417,73.09
Tanete,-3.9443,119.7848,74.28,97,100,7.43,ID,1629553418,74.28
Norman Wells,65.282,-126.8329,53.64,54,75,9.22,CA,1629553420,53.64
Atar,20.5169,-13.0499,101.68,27,66,0.96,MR,1629553421,101.68
Corrales,35.2378,-106.6067,75.25,42,1,1.99,US,1629553422,64.71
South Lake Tahoe,38.9332,-119.9844,55.44,50,1,3.44,US,1629553423,50.49
Grand Gaube,-20.0064,57.6608,73.8,68,90,3.0,MU,1629553425,73.38
Loikaw,19.6742,97.2094,68.94,95,31,3.47,MM,1629553426,68.94
Erenhot,43.6475,111.9767,69.58,52,96,25.57,CN,1629553427,69.58
Huarmey,-10.0681,-78.1522,64.08,82,72,6.8,PE,1629553429,64.08
Prome,18.8167,95.2167,78.78,88,45,3.96,MM,1629553431,78.78
Mingshui,36.7167,117.5,73.36,89,90,4.72,CN,1629553432,73.36
Makokou,0.5738,12.8642,84.54,58,75,0.0,GA,1629553434,84.54
Dubbo,-32.25,148.6167,46.53,81,82,6.91,AU,1629553435,46.53
Ostrovnoy,68.0531,39.5131,50.2,89,100,10.65,RU,1629553436,50.2
Yanam,16.7333,82.2167,82.8,85,56,3.58,IN,1629553438,82.8
Te Anau,-45.4167,167.7167,41.43,93,100,5.79,NZ,1629553439,41.43
Portoferraio,42.8115,10.3146,89.58,58,0,6.91,IT,1629553440,86.56
Hirara,24.8,125.2833,83.77,74,80,17.11,JP,1629553442,83.77
Alpena,45.0617,-83.4327,73.65,88,1,5.75,US,1629553443,72.16
Laguna,38.421,-121.4238,62.06,86,90,3.0,US,1629553444,58.86
Fengzhen,40.4394,113.1536,68.04,50,27,5.97,CN,1629553446,68.04
Cherskiy,68.75,161.3,59.13,58,100,7.67,RU,1629553447,59.13
Plettenberg Bay,-34.0527,23.3716,58.1,67,45,9.78,ZA,1629553448,58.1
Russell,32.3502,-85.1999,76.98,90,90,4.61,US,1629553450,75.2
Biggar,55.6167,-3.5167,62.67,94,100,3.06,GB,1629553451,60.96
Helong,42.5397,128.9972,63.52,100,100,3.06,CN,1629553452,63.52
Novomyrhorod,48.7811,31.642,79.83,34,20,12.62,UA,1629553454,79.83
Müllendorf,49.6803,6.13,81.16,58,20,3.0,LU,1629553455,78.26
Rocha,-34.4833,-54.3333,58.53,52,69,6.85,UY,1629553456,58.53
Ouadda,8.0777,22.4007,77.58,84,48,2.8,CF,1629553458,77.58
Isla Aguada,18.7833,-91.4667,81.23,79,100,17.78,MX,1629553459,81.23
Lusambo,-4.9667,23.45,91.54,34,100,5.95,CD,1629553460,91.54
Ancud,-41.8697,-73.8203,42.42,93,100,14.61,CL,1629553462,42.33
Chu,43.5983,73.7614,78.22,18,0,12.53,KZ,1629553463,78.22
Pingliang,35.5392,106.6861,64.35,82,100,8.46,CN,1629553465,64.35
Margate,51.3813,1.3862,67.95,81,100,1.99,GB,1629553466,66.97
Grindavik,63.8424,-22.4338,55.9,66,0,4.61,IS,1629553467,54.07
Plouzané,48.3833,-4.6167,69.89,82,90,13.8,FR,1629553208,66.58
Salalah,17.0151,54.0924,82.49,78,40,9.22,OM,1629553470,82.49
Alofi,-19.0595,-169.9187,73.29,100,100,2.3,NU,1629553471,73.29
Marawi,7.9986,124.2928,67.64,94,100,0.56,PH,1629553472,67.64
Kanchanaburi,14.6333,99.1,79.11,84,65,2.73,TH,1629553474,79.11
Antsohihy,-14.8796,47.9875,90.14,23,0,13.4,MG,1629553475,90.14
Changqing,36.5575,116.7272,75.0,88,100,3.71,CN,1629553477,75.0
Luanda,-8.8368,13.2343,77.0,73,75,8.05,AO,1629553225,77.0
Kuytun,54.3419,101.5036,50.27,96,100,11.39,RU,1629553479,50.27
Haines Junction,60.7522,-137.5108,46.35,76,100,11.5,CA,1629553480,46.35
Luau,-10.7073,22.2247,93.11,13,13,4.23,AO,1629553482,93.11
Bathsheba,13.2167,-59.5167,84.81,79,75,14.97,BB,1629553483,84.81
Lata,40.1629,-8.3327,85.35,35,0,10.89,PT,1629553484,75.16
Kupang,-10.1667,123.5833,76.66,76,6,10.89,ID,1629553486,76.66
Krasnoarmeysk,51.0239,45.6969,92.16,22,65,15.82,RU,1629553487,87.89
Itaueira,-7.6033,-43.0256,90.23,27,6,10.47,BR,1629553488,90.23
Qaqortoq,60.7167,-46.0333,59.5,57,96,6.87,GL,1629553489,59.5
Holly Hill,29.2436,-81.0376,87.17,65,20,1.99,US,1629553491,84.7
Radomsko,51.0671,19.4448,68.72,53,90,6.55,PL,1629553302,68.72
Diveyevo,55.0433,43.2418,83.57,39,91,5.12,RU,1629553493,83.57
Port-Gentil,-0.7193,8.7815,82.36,69,75,13.8,GA,1629553495,82.36
Trzcianka,53.0406,16.4563,72.45,40,40,9.75,PL,1629553496,72.45
Nivala,63.9167,24.9667,57.69,93,100,3.02,FI,1629553497,57.69
Palu,-0.8917,119.8707,76.05,96,98,1.68,ID,1629553498,76.05
Chisec,15.8167,-90.2833,77.23,91,100,0.31,GT,1629553500,77.23
Abū Zabad,12.35,29.25,85.86,52,100,10.42,SD,1629553501,85.86
Departamento de Maldonado,-34.6667,-54.9167,55.22,51,100,6.53,UY,1629553321,51.19
Kieta,-6.2167,155.6333,79.16,84,93,6.04,PG,1629553507,79.16
Yenagoa,4.9247,6.2642,82.49,71,86,8.79,NG,1629553508,82.49
Ciudad Bolivar,8.1222,-63.5497,84.87,67,51,6.13,VE,1629553509,84.87
Aquiraz,-3.9014,-38.3911,86.09,50,16,15.48,BR,1629553511,86.09
Collie,-33.3667,116.15,50.99,86,46,7.54,AU,1629553512,50.99
Xalpatlahuac,17.4667,-98.6167,61.93,95,100,4.47,MX,1629553513,61.93
Michigan City,41.7075,-86.895,78.46,83,1,3.44,US,1629553515,75.79
Seymchan,62.8833,152.4333,57.42,67,65,4.92,RU,1629553516,57.42
Havre-St-Pierre,50.2334,-63.5986,64.76,55,75,4.61,CA,1629553259,64.76
Sabang,5.8933,95.3214,82.11,73,93,15.32,ID,1629553518,82.11
Shache,38.4167,77.2406,84.78,15,28,3.85,CN,1629553520,84.78
Vágur,61.4732,-6.8119,51.89,92,100,24.94,FO,1629553521,51.89
Hoquiam,46.9809,-123.8893,57.18,65,90,3.44,US,1629553523,56.37
Antofagasta,-23.65,-70.4,58.28,72,40,5.59,CL,1629553524,58.28
Jiayuguan City,39.8167,98.3,76.42,17,100,10.07,CN,1629553525,76.42
Boueni,-12.9025,45.0761,82.38,71,1,10.87,YT,1629553527,82.38
Los Llanos de Aridane,28.6585,-17.9182,74.95,69,0,11.5,ES,1629553528,74.95
Beyneu,45.3167,55.2,97.84,14,0,12.77,KZ,1629553530,97.84
Sobolevo,54.4299,31.8996,68.09,62,84,7.74,RU,1629553531,68.09
Uberlândia,-18.9186,-48.2772,76.21,33,0,11.5,BR,1629553382,76.21
Guérande,47.3291,-2.4283,67.66,94,94,13.44,FR,1629553533,66.76
Kozani,40.3011,21.7864,66.88,77,41,5.75,GR,1629553535,66.88
Sarandi,-23.4436,-51.8739,83.75,28,0,11.5,BR,1629553536,83.75
Achinsk,56.2694,90.4993,54.19,74,100,6.17,RU,1629553537,54.19
Noumea,-22.2763,166.4572,64.38,85,99,11.16,NC,1629553539,64.38
Hervey Bay,-25.2986,152.8535,61.03,73,0,2.08,AU,1629553540,61.03
Itajuípe,-14.6781,-39.375,77.79,40,35,4.41,BR,1629553541,77.79
Vestmannaeyjar,63.4427,-20.2734,52.79,87,75,35.68,IS,1629553543,52.79
Codrington,-38.2667,141.9667,48.76,91,7,11.99,AU,1629553544,48.76
Hobyo,5.3505,48.5268,79.48,79,34,28.77,SO,1629553545,79.48
Dwārka,22.2394,68.9678,81.73,74,100,10.45,IN,1629553547,81.73
Merauke,-8.4667,140.3333,77.68,89,40,14.29,ID,1629553548,77.68
High Level,58.5169,-117.136,35.71,100,40,3.44,CA,1629553549,35.71
Exeter,50.7236,-3.5275,72.79,77,40,6.91,GB,1629553312,70.41
Mamit,23.9333,92.4833,69.31,99,78,3.85,IN,1629553552,69.31
Buraidah,26.326,43.975,108.05,8,0,13.2,SA,1629553553,108.05
Ambon City,-3.6954,128.1814,78.76,83,100,10.22,ID,1629553554,78.76
Meulaboh,4.1363,96.1285,77.92,86,100,1.63,ID,1629553556,77.92
Chokwé,-24.5333,32.9833,78.1,54,99,6.55,MZ,1629553557,78.1
Rognedino,53.8015,33.5576,74.46,42,0,9.48,RU,1629553558,74.46
Khorixas,-20.3667,14.9667,77.31,10,0,11.21,NA,1629553560,77.31
Yatou,37.15,122.3833,69.93,94,51,5.66,CN,1629553561,69.93
Samarai,-10.6167,150.6667,79.66,85,100,11.45,PG,1629553562,79.66
Shingū,33.7333,135.9833,80.91,93,100,3.71,JP,1629553564,80.91
Aykhal,66.0,111.5,48.25,67,9,12.01,RU,1629553565,48.25
Oranjestad,12.524,-70.027,85.95,70,40,18.41,AW,1629553566,85.95
Verāval,20.9,70.3667,77.56,89,100,11.86,IN,1629553568,77.56
Talaya,61.3833,152.75,56.55,73,33,9.98,RU,1629553569,56.55
Naze,28.3667,129.4833,79.03,91,76,11.18,JP,1629553570,79.03
Tuatapere,-46.1333,167.6833,41.83,86,100,7.38,NZ,1629553572,41.83
Le Mars,42.7942,-96.1656,62.11,82,1,10.36,US,1629553573,60.62
Kaniama,-7.5667,24.1833,87.1,30,100,1.41,CD,1629553574,87.1
Arbazh,57.6804,48.3065,85.6,29,100,9.82,RU,1629553576,85.6
Lucknow,26.85,80.9167,85.98,89,75,4.61,IN,1629553310,85.98
Resistencia,-27.4606,-58.9839,71.1,80,40,11.5,AR,1629553578,62.76
İskele,39.484,26.9278,87.89,27,0,24.16,TR,1629553579,87.89
Birao,10.2849,22.7882,82.81,64,27,4.29,CF,1629553581,82.81
Guiglo,6.5456,-7.4966,80.87,87,54,2.21,CI,1629553582,80.87
Balyqshy,47.0667,51.8667,100.4,14,0,13.42,KZ,1629553311,100.4
Cairns,-16.9167,145.7667,75.07,100,90,10.36,AU,1629553584,70.41
Witu,-2.3889,40.4382,77.16,67,20,14.54,KE,1629553586,77.16
Kathu,7.9178,98.3332,78.62,76,100,7.31,TH,1629553587,78.62
Peniche,39.3558,-9.3811,85.48,75,4,10.31,PT,1629553588,74.86
Coyhaique,-45.5752,-72.0662,34.41,86,90,5.75,CL,1629553590,33.75
Kaeo,-35.1,173.7833,54.32,95,100,13.6,NZ,1629553591,54.32
Avera,33.194,-82.5271,80.47,66,3,2.77,US,1629553592,77.65
Júlio de Castilhos,-29.2269,-53.6817,52.18,76,50,12.44,BR,1629553594,52.18
Mandurah,-32.55,115.7,58.91,63,40,21.43,AU,1629553595,58.86
Kabare,-2.4683,28.8242,72.23,60,100,2.64,CD,1629553596,72.23
Sasebo,33.1592,129.7228,80.58,90,100,12.12,JP,1629553598,80.58
Campos dos Goytacazes,-21.75,-41.3,78.85,57,0,6.91,BR,1629553599,78.85
Rosario,-32.9468,-60.6393,60.82,44,0,8.01,AR,1629553495,59.59
Malaṅgawā,26.8568,85.5581,82.42,79,93,4.32,NP,1629553601,82.42
Yangi Marg`ilon,40.4272,71.7189,92.12,25,12,9.22,UZ,1629553603,92.12
Port Said,31.2565,32.2841,87.78,70,0,13.8,EG,1629553604,87.78
Pahrump,36.2083,-115.9839,78.17,44,0,1.99,US,1629553605,75.92
Būlaevo,54.9056,70.4439,81.23,38,12,2.01,KZ,1629553311,81.23
Acapulco de Juárez,16.8634,-99.8901,78.75,87,100,4.34,MX,1629553582,78.75
Turan,16.0678,108.2208,86.05,74,20,2.3,VN,1629553609,84.18
Barra de Tecoanapa,16.5167,-98.75,77.23,87,100,6.22,MX,1629553610,77.23
Forio,40.7342,13.8646,89.89,73,0,15.01,IT,1629553612,84.76
Tahara,34.6667,137.2667,79.02,84,100,7.23,JP,1629553613,78.75
Huilong,31.8111,121.655,79.14,83,76,4.56,CN,1629553614,79.14
Brae,60.3964,-1.353,58.91,69,80,15.39,GB,1629553616,58.91
Pangnirtung,66.1451,-65.7125,49.96,69,9,3.04,CA,1629553617,49.96
Waingapu,-9.6567,120.2641,75.99,87,7,9.42,ID,1629553618,75.99
Rocca Priora,41.7786,12.7482,91.2,36,20,4.0,IT,1629553620,84.81
Vardø,70.3705,31.1107,50.2,81,100,18.03,NO,1629553621,50.2
Benguela,-12.5763,13.4055,75.33,72,49,11.45,AO,1629553622,75.33
Stokmarknes,68.5646,14.9108,54.5,70,86,9.6,NO,1629553624,50.38
Brookings,44.3114,-96.7984,61.21,77,75,19.57,US,1629553383,57.47
Dingle,10.9995,122.6711,77.59,87,100,1.48,PH,1629553626,77.59
Panalingaan,8.7842,117.4231,79.92,83,100,3.51,PH,1629553627,79.92
Mallaig,54.2169,-111.3685,43.21,69,11,2.39,CA,1629553629,40.14
Srednekolymsk,67.45,153.6833,60.76,49,95,6.06,RU,1629553630,60.76
Acaraú,-2.8856,-40.12,88.29,47,5,17.83,BR,1629553631,88.29
Timizart,36.8,4.2667,96.67,29,4,10.2,DZ,1629553633,96.67
Kyren,51.6828,102.1408,46.2,96,100,0.51,RU,1629553634,46.2
Sémbé,1.6481,14.5806,82.74,63,77,4.14,CG,1629553635,82.74
São José do Egito,-7.4789,-37.2744,85.93,28,7,10.25,BR,1629553637,85.93
Birjand,32.8663,59.2211,91.87,6,0,6.91,IR,1629553638,91.87
Dakar,14.6937,-17.4441,86.88,77,61,6.76,SN,1629553443,86.88
Biltine,14.5333,20.9167,95.13,28,10,0.38,TD,1629553640,95.13
Camalú,30.85,-116.0667,65.88,77,95,0.65,MX,1629553642,65.88
Imbituba,-28.24,-48.6703,71.49,59,5,6.82,BR,1629553413,71.49
Ilulissat,69.2167,-51.1,46.42,71,75,3.44,GL,1629553644,46.42
Bogorodskoye,56.55,37.8833,66.78,65,100,6.58,RU,1629553645,66.78
Longyearbyen,78.2186,15.6401,40.84,75,40,5.75,SJ,1629553647,40.84
Mwene-Ditu,-7.0,23.45,84.43,38,100,4.81,CD,1629553648,84.43
Rodrigues Alves,-7.738,-72.6509,88.0,39,5,3.58,BR,1629553649,88.0
Bulri,24.8667,68.3333,90.09,50,86,17.45,PK,1629553651,90.09
Dauphin,51.1494,-100.0502,55.54,94,90,12.66,CA,1629553652,55.54
Mirebalais,18.8333,-72.1053,84.92,62,20,5.75,HT,1629553653,84.92
Xining,36.6167,101.7667,55.33,90,100,1.36,CN,1629553655,55.33
Steamboat Springs,40.485,-106.8317,54.9,85,1,0.0,US,1629553656,45.39
Palencia,42.4167,-4.5,84.92,16,12,11.61,ES,1629553615,84.92
Porto Santo,33.072,-16.3415,81.3,57,40,9.22,PT,1629553659,75.58
Cayenne,4.9333,-52.3333,87.84,76,40,7.0,GF,1629553660,86.09
Kintampo,8.0563,-1.7306,73.69,91,100,3.74,GH,1629553661,73.69
Mergen,49.1833,125.2167,61.72,98,100,4.92,CN,1629553663,61.72
Tagusao,9.1924,117.8141,81.05,80,100,0.49,PH,1629553664,81.05
Urucará,-2.5364,-57.76,91.92,43,7,4.45,BR,1629553666,91.92
Yuci,37.6803,112.7319,73.15,83,100,6.71,CN,1629553667,73.15
Amberley,39.2048,-84.428,81.07,77,1,3.0,US,1629553668,76.59
Yerbogachën,61.2767,108.0108,64.27,59,100,5.26,RU,1629553670,64.27
Clarksburg,39.2807,-80.3445,77.11,94,90,3.44,US,1629553671,70.63
Rawalpindi,33.6007,73.0679,88.23,60,12,1.99,PK,1629553387,88.23
Cape Canaveral,28.4058,-80.6048,88.05,81,20,4.61,US,1629553632,84.27
Rudnya,54.947,31.0934,60.93,79,83,12.66,RU,1629553675,60.93
Log,49.4844,43.8613,84.63,32,48,10.69,RU,1629553676,84.63
São Filipe,14.8961,-24.4956,81.23,77,79,5.68,CV,1629553677,81.23
Khāsh,28.2211,61.2158,89.49,8,0,20.18,IR,1629553679,89.49
Malinovskiy,61.1953,62.8397,84.96,29,69,12.06,RU,1629553680,84.96
Sorong,-0.8833,131.25,78.4,84,100,4.52,ID,1629553681,78.4
Loukhi,66.0764,33.0381,56.8,87,99,2.48,RU,1629553683,56.8
Manokwari,-0.8667,134.0833,79.0,77,22,2.93,ID,1629553684,79.0
Antipovka,49.8299,45.3122,87.04,35,97,14.38,RU,1629553685,87.04
Boa Vista,2.8197,-60.6733,84.18,70,75,9.22,BR,1629553687,84.18
Nemuro,43.3236,145.575,54.07,96,100,7.96,JP,1629553688,54.07
Kango,0.1943,10.0951,82.26,64,99,2.39,GA,1629553689,82.26
Sioux Lookout,50.1001,-91.917,66.27,82,75,12.66,CA,1629553691,66.27
Rudnogorsk,57.2639,103.7519,60.4,54,89,4.63,RU,1629553692,60.4
Phalombe,-15.8064,35.6507,81.52,33,84,1.05,MW,1629553693,81.52
Lingdong,46.5669,131.1453,67.21,88,100,2.82,CN,1629553695,67.21
